data,sample,strategy,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist,t,algo,galgo,adm,dm,am,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity
dblp,-1,static,all,adm,0.5,0.5,10,1,km,1.0,0,ctkga,ad,2.3477150316959576e-05,4.695430063391915e-05,0.0,0,12581,49122,8048,12591,12581,49743,57170,10,12581,10
dblp,-1,static,all,adm,0.5,0.5,8,1,km,1.0,0,ctkga,ad,1.3857888942268574e-05,2.7715777884537147e-05,0.0,0,12551,47693,6396,12591,12551,49743,54089,8,12551,8
dblp,-1,static,all,adm,0.5,0.5,6,1,km,1.0,0,ctkga,ad,1.1894281639754699e-05,2.3788563279509397e-05,0.0,0,12537,48701,4754,12591,12537,49743,53455,6,12537,6
dblp,-1,static,all,adm,0.5,0.5,1,1,km,1.0,0,ctkga,ad,0.0,0.0,0.0,0,12591,49743,0,12591,12591,49743,49743,1,12591,1
dblp,-1,static,all,adm,0.5,0.5,9,1,km,1.0,0,ctkga,ad,2.0589612792522233e-05,4.1179225585044466e-05,0.0,0,12555,48570,7646,12591,12555,49743,56216,9,12555,9
dblp,-1,static,all,adm,0.5,0.5,4,1,km,1.0,0,ctkga,ad,9.789470083218208e-06,1.9578940166436417e-05,0.0,0,12579,49396,3439,12591,12579,49743,52835,4,12579,4
dblp,-1,static,all,adm,0.5,0.5,5,1,km,1.0,0,ctkga,ad,1.083828077737998e-05,2.167656155475996e-05,0.0,0,12581,49234,3935,12591,12581,49743,53169,5,12581,5
dblp,-1,static,all,adm,0.5,0.5,2,1,km,1.0,0,ctkga,ad,2.248739177990019e-06,4.497478355980038e-06,0.0,0,12591,49680,776,12591,12591,49743,50456,2,12591,2
dblp,-1,static,all,adm,0.5,0.5,3,1,km,1.0,0,ctkga,ad,5.289110240517899e-06,1.0578220481035797e-05,0.0,0,12591,49420,2000,12591,12591,49743,51420,3,12591,3
dblp,-1,static,all,adm,0.5,0.5,7,1,km,1.0,0,ctkga,ad,1.575063598160201e-05,3.150127196320402e-05,0.0,0,12591,49372,5365,12591,12591,49743,54737,7,12591,7
